is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp.1,subject,year,month,Day,Quarter,Profit,Duration_Category,Price_category,course_title_cleaned
TRUE,100,26673,1090,185,All Levels,12,2011-12-20 15:29:25+00:00,Web Development,2011,December,Tuesday,4,2667300,20,55:100,Become a Certified Web Developer
TRUE,100,22213,142,16,All Levels,1,2015-08-11 18:52:58+00:00,Web Development,2015,August,Tuesday,3,2221300,0:01:00,55:100,Learn Object Oriented Programming PHP fundamentals bootcamp
TRUE,100,18324,333,16,Beginner Level,1,2013-07-09 20:27:14+00:00,Web Development,2013,July,Tuesday,3,1832400,0:01:00,55:100, Hour CSS
TRUE,100,17334,676,96,All Levels,17,2015-02-23 23:18:49+00:00,Web Development,2015,February,Monday,1,1733400,20,55:100,The Professional Ruby on Rails Developer
TRUE,100,16409,589,74,All Levels,4,2016-06-14 19:26:06+00:00,Web Development,2016,June,Tuesday,2,1640900,12:20:00,55:100,Angular  Crash Course with TypeScript
TRUE,100,14260,44,43,Beginner Level,3,2015-09-25 18:13:40+00:00,Web Development,2015,September,Friday,3,1426000,7:12:00,55:100,Get started Creating Websites Everything you need provided
TRUE,100,13406,78,44,All Levels,1.5,2015-07-26 17:44:17+00:00,Web Development,2015,July,Sunday,3,1340600,1:03:00,55:100,JavaScript Step by Step how to apply it to your web pages
TRUE,100,11892,50,28,All Levels,2.5,2015-09-12 01:35:41+00:00,Web Development,2015,September,Saturday,3,1189200,7:12:00,55:100,You can create Incredible Websites with HTML CSS learn how
TRUE,100,11643,169,21,Beginner Level,1,2013-08-12 23:26:32+00:00,Web Development,2013,August,Monday,3,1164300,0:01:00,55:100,Learn HTML  in  hour
TRUE,100,11517,92,21,All Levels,1.5,2013-11-09 21:46:52+00:00,Business Finance,2013,November,Saturday,4,1151700,1:03:00,55:100,CPA : How To Master Affiliate Marketing In No Time
TRUE,100,9668,38,52,All Levels,4,2015-11-20 17:22:00+00:00,Web Development,2015,November,Friday,4,966800,12:20:00,55:100,JQuery Essentials core training for Dynamic Interactive web
TRUE,100,9103,1724,58,All Levels,9,2014-09-22 23:58:31+00:00,Web Development,2014,September,Monday,3,910300,20,55:100,Web Design for Beginners: Real World Coding in HTML & CSS
TRUE,100,9067,41,27,Beginner Level,3,2017-03-08 22:34:43+00:00,Web Development,2017,March,Wednesday,1,906700,7:12:00,55:100,Start Writing JavaScript Today - Beginner JavaScript Course
TRUE,100,8968,35,25,Beginner Level,2,2016-03-03 20:36:35+00:00,Web Development,2016,March,Thursday,1,896800,3:07:00,55:100,Building HTML Canvas projects from scratch
TRUE,100,8691,836,63,Beginner Level,11,2015-12-15 20:30:28+00:00,Web Development,2015,December,Tuesday,4,869100,20,55:100,React and Flux Web Development for Beginners
TRUE,100,7213,50,38,Beginner Level,3,2016-01-09 04:31:40+00:00,Web Development,2016,January,Saturday,1,721300,7:12:00,55:100,Create a Dynamic User Registration Form from scratch
TRUE,100,7130,30,17,All Levels,1,2013-07-25 19:55:43+00:00,Web Development,2013,July,Thursday,3,713000,0:01:00,55:100,Kids Coding - Beginners CSS
TRUE,100,7059,116,58,All Levels,5,2017-06-19 21:39:14+00:00,Web Development,2017,June,Monday,2,705900,12:20:00,55:100,React JS - Mastering Redux
TRUE,100,6890,99,90,Intermediate Level,10.5,2015-06-03 18:21:21+00:00,Web Development,2015,June,Wednesday,2,689000,20,55:100,The Advanced Web Developer Course
TRUE,100,6271,68,75,All Levels,5,2013-06-27 21:55:17+00:00,Musical Instruments,2013,June,Thursday,2,627100,12:20:00,55:100,"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,,,,,Beginner Level, hours,--T::Z
,Learn Piano Today: How to Play Piano Course in Quick Lessons"""
TRUE,100,5962,466,132,All Levels,16,2016-03-08 07:36:40+00:00,Web Development,2016,March,Tuesday,1,596200,20,55:100, Beautiful Ruby on Rails Apps in  Days & TDD - Immersive 
TRUE,100,5800,185,32,Beginner Level,3.5,2015-07-20 20:38:56+00:00,Web Development,2015,July,Monday,3,580000,7:12:00,55:100,Be a Bootstrap Developer from scratch
TRUE,100,5715,52,31,All Levels,3,2015-04-26 12:35:16+00:00,Web Development,2015,April,Sunday,2,571500,7:12:00,55:100,"Learn HTML, A practical guide from scratch to HTML "
TRUE,100,5456,133,25,Beginner Level,1,2013-08-03 14:20:52+00:00,Web Development,2013,August,Saturday,3,545600,0:01:00,55:100, hour jQuery
TRUE,100,5117,463,138,All Levels,14.5,2015-07-17 18:52:45+00:00,Web Development,2015,July,Friday,3,511700,20,55:100,PHP for Beginners: How to Build an E-Commerce Store
TRUE,100,5097,196,37,Beginner Level,2,2016-04-09 01:56:01+00:00,Web Development,2016,April,Saturday,2,509700,3:07:00,55:100,How To Create Your Very First Website With HTML and CSS
TRUE,100,5089,685,29,All Levels,3.5,2015-01-31 02:24:19+00:00,Web Development,2015,January,Saturday,1,508900,7:12:00,55:100,Javascript for Beginners Learn by Doing Practical Exercises
TRUE,100,4927,15,22,All Levels,2.5,2015-04-26 12:27:22+00:00,Graphic Design,2015,April,Sunday,2,492700,7:12:00,55:100,Mastering Retouching and Restoration ( projects Included)
TRUE,100,4661,187,20,All Levels,1,2014-09-01 21:43:47+00:00,Business Finance,2014,September,Monday,3,466100,0:01:00,55:100,Accounting: Get Hired Without Work Experience
TRUE,100,4563,49,13,All Levels,1.5,2015-11-26 17:16:53+00:00,Web Development,2015,November,Thursday,4,456300,1:03:00,55:100,Hit the ground running with AngularJS with Dion Yang
TRUE,100,4537,415,49,All Levels,9,2015-08-20 20:32:31+00:00,Web Development,2015,August,Thursday,3,453700,20,55:100,Ultimate WordPress Plugin Course
TRUE,100,4442,23,28,Beginner Level,2,2016-03-15 18:03:33+00:00,Web Development,2016,March,Tuesday,1,444200,3:07:00,55:100,Power up HTML with JavaScript
TRUE,100,3757,28,20,All Levels,1,2015-05-27 17:51:19+00:00,Web Development,2015,May,Wednesday,2,375700,0:01:00,55:100,Learn CSS Transition and Animation 
TRUE,100,3701,508,125,All Levels,10.5,2015-08-28 00:29:28+00:00,Web Development,2015,August,Friday,3,370100,20,55:100,PHP MVC Framework CodeIgniter Tutorial for Beginners Project
TRUE,100,3559,24,18,Beginner Level,1,2017-06-18 21:23:07+00:00,Web Development,2017,June,Sunday,2,355900,0:01:00,55:100,JQuery Basics - Learn JQuery From Scratch
TRUE,100,3377,20,15,Beginner Level,2,2016-02-26 01:08:20+00:00,Graphic Design,2016,February,Friday,1,337700,3:07:00,55:100,Canva : Book Cover Design
TRUE,100,3371,175,42,Beginner Level,3,2015-11-12 01:10:55+00:00,Musical Instruments,2015,November,Thursday,4,337100,7:12:00,55:100,Piano for Singer/Songwriters | Write Songs and Perform Live!
TRUE,100,2971,285,28,All Levels,3,2015-03-24 00:40:39+00:00,Web Development,2015,March,Tuesday,1,297100,7:12:00,55:100,jQuery for Beginners - Create Website Animations Easily
TRUE,100,2912,309,85,All Levels,6,2015-03-04 22:52:26+00:00,Web Development,2015,March,Wednesday,1,291200,12:20:00,55:100,AngularJS Masterclass - Deep Dive & Understand AngularJS
TRUE,100,2760,76,26,All Levels,3.5,2015-07-13 22:58:32+00:00,Web Development,2015,July,Monday,3,276000,7:12:00,55:100,Web Programming Course : Asp.Net MVC
TRUE,100,2607,317,49,All Levels,5,2015-11-26 23:56:12+00:00,Web Development,2015,November,Thursday,4,260700,12:20:00,55:100,PHP Login and Registration System - Email Confirm Activation
TRUE,100,2591,44,69,All Levels,10,2015-01-26 20:09:29+00:00,Business Finance,2015,January,Monday,1,259100,20,55:100,Financial Accounting: The Complete Introductory Crash Course
TRUE,100,2558,12,36,Beginner Level,3,2016-02-14 18:51:48+00:00,Web Development,2016,February,Sunday,1,255800,7:12:00,55:100,Learn JavaScript Dynamic Interactive Projects for Beginners
TRUE,100,2416,19,14,All Levels,1,2016-08-09 17:56:53+00:00,Graphic Design,2016,August,Tuesday,3,241600,0:01:00,55:100,Word Swag : Create Stunning Images with the Word Swag App
TRUE,100,2412,116,28,All Levels,2.5,2016-08-30 18:20:56+00:00,Web Development,2016,August,Tuesday,3,241200,7:12:00,55:100,Javascript Intermediate level  - Mastering Functions
TRUE,100,2360,12,49,Beginner Level,3.5,2016-03-01 17:53:34+00:00,Web Development,2016,March,Tuesday,1,236000,7:12:00,55:100,Learn HTML Canvas for beginners
TRUE,100,2234,253,115,All Levels,11.5,2016-11-02 20:39:41+00:00,Web Development,2016,November,Wednesday,4,223400,20,55:100,Build Incredible Chatbots
TRUE,100,2195,10,35,Intermediate Level,3.5,2016-03-06 21:41:43+00:00,Web Development,2016,March,Sunday,1,219500,7:12:00,55:100,Canvas image Creator HTML JavaScript project from Scratch
TRUE,100,1987,7,43,Beginner Level,3,2016-02-01 02:17:42+00:00,Musical Instruments,2016,February,Monday,1,198700,7:12:00,55:100,Playing Piano:  Play Chords and Popular Pieces Vol.I
TRUE,100,1975,141,36,All Levels,3,2017-01-20 00:54:56+00:00,Web Development,2017,January,Friday,1,197500,7:12:00,55:100,Regular Expressions for Beginners - Universal
TRUE,100,1853,34,39,All Levels,2,2015-07-12 22:55:57+00:00,Web Development,2015,July,Sunday,3,185300,3:07:00,55:100,How to Create a Social Network For a Niche-Related Community
TRUE,100,1838,169,31,All Levels,3,2016-08-30 19:52:11+00:00,Web Development,2016,August,Tuesday,3,183800,7:12:00,55:100,Javascript Intermediate level  - Mastering the DOM
TRUE,100,1825,17,58,All Levels,3.5,2016-11-18 21:16:33+00:00,Web Development,2016,November,Friday,4,182500,7:12:00,55:100,PHP For Beginners : Learn PHP From Scratch!
TRUE,100,1735,76,25,All Levels,2.5,2016-08-30 17:48:52+00:00,Web Development,2016,August,Tuesday,3,173500,7:12:00,55:100,Javascript Intermediate level  - JSON
TRUE,100,1712,438,49,All Levels,5.5,2016-02-08 23:41:51+00:00,Web Development,2016,February,Monday,1,171200,12:20:00,55:100,Ultimate AngularJS: Build a Real-World App from Scratch
TRUE,100,1701,125,88,Beginner Level,7,2015-06-23 20:16:55+00:00,Web Development,2015,June,Tuesday,2,170100,20,55:100,WordPress for Beginners - Build Your First Website in 
TRUE,100,1626,115,78,Intermediate Level,6.5,2016-11-15 21:59:55+00:00,Web Development,2016,November,Tuesday,4,162600,20,55:100,Spring Core DevOps on AWS
TRUE,100,1611,165,157,Expert Level,12.5,2016-11-07 17:17:16+00:00,Web Development,2016,November,Monday,4,161100,20,55:100,The Complete WordPress Development & Customization Course
TRUE,100,1606,28,73,Beginner Level,9,2013-12-13 18:19:58+00:00,Web Development,2013,December,Friday,4,160600,20,55:100,HTML and CSS for Beginning Web Developers
TRUE,100,1605,19,52,Beginner Level,2,2015-02-13 03:27:03+00:00,Musical Instruments,2015,February,Friday,1,160500,3:07:00,55:100,"Learn BASS GUITAR- Have Fun, Amaze Your Friends- It's Easy! "
TRUE,100,1573,122,43,Beginner Level,5.5,2015-02-17 02:52:02+00:00,Business Finance,2015,February,Tuesday,1,157300,12:20:00,55:100,IntroducciÃ³n al trading de opciones
TRUE,100,1526,3,24,Beginner Level,2,2016-10-12 20:22:14+00:00,Graphic Design,2016,October,Wednesday,4,152600,3:07:00,55:100,Blender Modelling Series - Volume Two
TRUE,100,1518,55,122,Beginner Level,19,2015-02-17 20:34:13+00:00,Web Development,2015,February,Tuesday,1,151800,20,55:100,Ruby on Rails ---A Test-Driven Approach
TRUE,100,1444,101,59,Beginner Level,5,2016-07-25 16:08:07+00:00,Business Finance,2016,July,Monday,3,144400,12:20:00,55:100,SAP FICO For Beginners - A Guide to SAP Financial Accounts
TRUE,100,1410,134,67,All Levels,5,2016-04-15 18:47:45+00:00,Web Development,2016,April,Friday,2,141000,12:20:00,55:100,JavaScript - Tricks and Workarounds
TRUE,100,1385,89,97,All Levels,11,2015-09-12 07:14:48+00:00,Web Development,2015,September,Saturday,3,138500,20,55:100,jQuery in Action: Build  jQuery Projects
TRUE,100,1385,188,83,All Levels,5,2016-06-22 16:54:51+00:00,Web Development,2016,June,Wednesday,2,138500,12:20:00,55:100,HTML Specialist: Comprehensive HTML Training
TRUE,100,1373,5,63,Beginner Level,2.5,2015-11-18 17:47:26+00:00,Graphic Design,2015,November,Wednesday,4,137300,7:12:00,55:100,Adobe Photoshop Essentials: Master Adobe Photoshop CS
TRUE,100,1338,38,35,Beginner Level,3,2015-11-11 01:26:13+00:00,Graphic Design,2015,November,Wednesday,4,133800,7:12:00,55:100,How To Sell Your Art Online With ETSY
TRUE,100,1229,8,11,All Levels,0.5,2015-12-12 00:29:50+00:00,Musical Instruments,2015,December,Saturday,4,122900,0:01:00,55:100,Easy to play Christmas Songs for Guitar
TRUE,100,1223,14,29,Beginner Level,1,2017-03-07 23:10:03+00:00,Business Finance,2017,March,Tuesday,1,122300,0:01:00,55:100,Financial Ratios Using Excel
TRUE,100,1213,12,25,Beginner Level,6.5,2017-03-13 22:53:07+00:00,Business Finance,2017,March,Monday,1,121300,20,55:100,No Bull Investing: Investing  For Financial Freedom
TRUE,100,1193,87,58,All Levels,10.5,2015-06-16 00:35:45+00:00,Web Development,2015,June,Tuesday,2,119300,20,55:100,JavaScript for beginners - A Complete Guide
TRUE,100,1148,26,42,All Levels,2,2017-05-01 18:32:43+00:00,Graphic Design,2017,May,Monday,2,114800,3:07:00,55:100,Design a logo for FREE in Inkscape
TRUE,100,1110,183,77,All Levels,10,2017-02-06 17:22:18+00:00,Graphic Design,2017,February,Monday,1,111000,20,55:100,photoshop - CURSO DE PHOTOSHOP DO BÃSICO AO AVANÃ‡ADO
TRUE,100,1043,27,30,All Levels,2,2016-11-23 22:57:18+00:00,Graphic Design,2016,November,Wednesday,4,104300,3:07:00,55:100,Icon & Logo Symbol Design in Adobe Illustrator
TRUE,100,1040,14,21,All Levels,2,2016-06-14 17:36:46+00:00,Web Development,2016,June,Tuesday,2,104000,3:07:00,55:100,Learn jQuery from Scratch - Master of JavaScript library
TRUE,100,1032,9,21,All Levels,1,2016-04-18 17:36:30+00:00,Web Development,2016,April,Monday,2,103200,0:01:00,55:100,Sell Courses On Your Own Website - No Coding Required!
